"","titles"
"547","Original Celestron Ultima boxes for the Ultima 12.5mm, 35mm & 42mm eyepieces"
"548","TeleVue Radian 4mm"
"549","Hard to find! Vixen NLV 40"
"550","Some Plossl Eyepieces - nicely priced and  free shipping too!"
"551","StarGuider / BST 9mm 58 degree 1.25"" eyepiece"
"552","Celestron 23 MM Axiom LX 2"" Eyepiece"
"553","BAADER HYPERION 13mm-INCLUDES SHIPPING"
"554","FOR SALE or Trade My 13mm type 6 Nagler for your 5mm Type 6 Nagler"
"555","3.4mm Vixen HR"
"556","TV Nagler 11mm type 6"
"557","Televue 41 MM Panoptic Eyepiece"
"558","REDUCED Explore Scientific 20mm 68* Binoviewer PAIR"
"559","Reduced: MEADE 6.4mm SERIES 4000 SUPER PLOSSL – Excellent!"
"560","MEADE 32mm SERIES 4000 SUPER PLOSSL – Excellent!"
"561","ZWO ADC"
"562","Vintage Sirius 10mm Plossls"
"563","Coronado CEMAX 18mm and 25mm Oculars - Excellent + Condition"
"564","Orion 8mm Stratus Eyepiece"
"565","Eyepieces & right angle correct image 8x50 finder"
"566","ZWO ADC"
"567","Celestron 10mm Ultima, excellent condition"
"568","Meade Series 4000 8.8mm Ultra Wide Angle (Japan)"
"569","Carl Zeiss PL 10x18 25mm Aspherics EP pair"
"570","[Reduced]  Leica HC plan 10x/25 eyepiece"
"571","[Reduced] Zeiss E-PL 10x/20 eyepiece pair"
"572","UO/EO HD Orthos 7mm, 12.5mm, 25mm - Mint!"
"573","Simmons Spotting Scope Eyepiece (52x50mm) or (60x60mm) #1232"
"574","Simmons Spotting Scope Eyepiece (17x50mm) or (20x60mm) #1230"
"575","27 Panoptic $205 Shipped"
"576","Tectron 1.25"" 3 piece collimation set VERY clean"
"577","Celestron Vixen .965"" 30mm Kellner w both caps 1992"
"578","Tele Vue 35mm Panoptic"
"579","Celestron Ultima 10mm, 45mm , 60mm, 80mm"
"580","University Optics HD orthoscopics"
"581","Astro-Tech Paradigm or Agena Starguider Dual ED 12mm"
"582","15mm and 20mm ""Expanse"" type eyepieces"
"583","Baader BCO 32mm Plossl (Binoview Pair)"
"584","Tele Vue DeLite 18mm - Brand New"
"585","Vixen LVW 22 WANTED"
"586","Meade 8-24 zoom"
"587","Celestron E-Lux 2"" Eyepieces - New"
"588","Meade Plossl 15mm"
"589","Celestron Ultima 24mm"
"590","Parks 25mm Kellner - marked JAPAN"
"591","Tele Vue 11mm DeLite"
"592","Brand New Baader Hyperion 21mm Eyepiece"
"593","Brand New Baader Morpheus 17.5mm Eyepiece"
"594","Tele Vue Nagler 31mm Type 5 - EXC w/Orig. Box & Caps"
"595","Celestron Reducer f/6.3"
"596","Celestron Luminous 2"" 19mm Eyepiece For Sale"
"597","WANTED: Baader Morpheus 9mm"
"598","13mm RKE type eyepieces"
"599","Meade MA12 mm eyepiece. Free shipping!!"
"600","Celestron Ultima Duo 5mm For Sale"
"601","Pentax SMC 8-24 Zoom"
"602","Televue 40 Wide Field"
"603","Like new, 4.7mm Explore Scientific 82 degree eyepiece"
"604","Brand New Baader Hyperion 24mm"
"605","Tele Vue 15mm Wide Field Circle NJ Japan"
"606","Meade 14mm Series 4000 UWA Eyepiece with Bolt Case"
"607","18mm Kellner - Japan"
"608","Celestron 25mm Kellner 1.25"" MC - Japan"
"609","Celestron 26mm plossl silvertop smoothie"
"610","Tele Vue Panoptic 22mm"
"611","Leica HC plan 10x/25 eyepiece 30mm"
"612","Takahashi 30mm LE eypiece"
"613","SkyWatcher 28mm LET Eyepiece"
"614","22mm VIXEN LVW"
"615","Televue 11 Plossel"
"616","Vintage .965 Celestron 30mm Kellner"
"617","Nice Meade 15mm Smoothie, Super Plossl"
"618","twin 24mm explore scientific argon filled eyepieces; 68 degrees apparent field"
"619","Still Looking: Meade 15mm QX Wide Angle Eyepiece"
"620","Celestron 24mm Ultima eyepiece"
"621","Meade QX wide angle 20 mm eyepiece"
"622","Matched pair of 15mm GSO Superviews- $65 both"
"623","Reduced! Tele Vue 12mm Nagler T4"
"624","CORONADO CEMAX EYEPIECES- 25MM,  18MM,  12MM"
"625","Baader OIII 8nm Visual Filter"
"626","Nice Mead 12mm eyepiece"
"627","Explore Scientific 4.7mm"
"628","WO Swan 33mm  72 deg  2"" eyepiece  $80"
"629","Meade eyepieces Super Plossel  4000 series 3 for $27"
"630","Unitron 60mm Kellner (reduced)"
"631","Meade 26mm Plossl Smoothie"
"632","Edmund 28mm & 15mm RKE Eyepieces"
"633","THREE MEADE SERIES 4000 SUPER PLOSSL’s – Excellent!"
"634","VINTAGE MEADE 40MM MA EWF – Excellent Condition!"
"635","TELEVUE 15mm 1.25” PANOPTIC – Excellent Condition!"
"636","Vintage Volcano Top 9mm Ortho"
"637","Qty 2 - SVBONY 1.25"" 20mm 66° Ultra Wide 5-Element"
"638","Looking for wide angle 2"" Eyepieces"
"639","Antares 15mm Plossl"
"640","Vintage Circle T 20mm Erfle"
"641","Celestron 1.25"" Ultima 30 and 15WA in boxes RARE"
"642","Televue 31mm Nagler Type 5 Eyepiece"
"643","Baader Morpheus 4.5 mm Mint Like New with Box Reduced"
"644","Vintage Celestron Silver Top 26mm Plossl Vixen Japan"
"645","16mm Meade 3000 Smoothie Plossl"
"646","ZAO II 10 mm, 6 mm, 4 mm Factory Vacuum Sealed"
"647","EYE PIECES AND OTHER GEAR IN HARD CASE"
"648","7mm University Optics Volcano Top Ortho"
"649","9mm Celestron Vintage Volcano Top Ortho"
"650","12.5mm Circle-T Volcano Top Ortho"
"651","26mm Agena SWA 70 Degrees"
"652","TeleVue 12mm Nagler T2 and 7mm Nagler T1"
"653","2 pairs of best value 1.25"" Eyepieces"
"654","Type 1 paracorr with tuneable top"
"655","Baader Mark III Hyperion Zoom 8-24MM"
"656","Celestron Luminos 19mm 82° 2” EP"
"657","REDUCED: Meade Series 4000 Eyepieces"
"658","Explore Scentific 82 degrees 6.7mm, 11mm, 14mm"
"659","11MM Nagler Type 1"
"660","9mm Nagler"
"661","Olivon Zoom Eyepiece"
"662","Galoc 7mm Ortho Collector condition"
"663","*Collectors*  Vintage Kellner 25mm by Celestron  *Reduced*"
"664","17.3mm DELOS.  **Reducd**"
"665","Celestron 17mm Halloween Plossl Excellent + (REDUCED)"
"666","Explore Scientific 16mm 68° eyepiece"
"667","looking for : EXPLORE SCIENTIFIC  8.8mm and 14mm  82°"
"668","Televue Paracorr Type 1 w/ Tunable Top"
"669","Wanted: Vixen LVW 3.5mm"
"670","Explore Scientific 68° 28mm 2"""
"671","Hyperion 21 mm Modular Eyepiece 68 Degree"
"672","Hyperion 13 mm Modular Eyepiece 68 Degree"
"673","Celestron Luminos 10mm 82 degree 2"" E.P. NEW!"
"674","**Wanted**  UO HD ORTHO 12mm"
"675","Docter 12.5mm"
"676","Celestron 1.25 Eyepiece kit"
"677","Fecker and two Jagers vintage eyepieces"
"678","Wanted: Lunt/ APM 20mm XWA"
"679","University Optics HD orthoscopics"
"680","Vixen HR eyepieces"
"681","Baader 8-24mm zoom Mark IV $250"
"682","Burgess 6mm planetary $50"
"683","Tele Vue 4.5mm Delos $300"
"684","Explore Scientific 82° 8.8mm eyepiece"
"685","Celestron 8-24mm Zoom Eyepiece - New"
"686","Orthoscoptic 4mm Eyepiece"
"687","Meade 32mm 4000 series eyepiece"
"688","ES Explore Scientific 18mm 82° eyepiece"
"689","1.25"" 16mm Konig Eyepiece"
"690","Flawed 7mm T1 Nagler - Price Lowered!"
"691","Apogee 30mm Wide Scan II 2"" eyepiece"
"692","Celestron Halloween Plossls, great shape!"
"693","13mm RKE type eyepieces"
"694","4x 48mm (2"") Filter Rings f/Hyperion EPs"
"695","Meade 4000 Japan 26mm Super Plossl In Box w/Bullet Case"
"696","32mm Plossl 1.25"" EP w/Caps"
"697","Celestron 40mm Plossl 1.25"" EP"
"698","1.25"" diameter 28 mm (1 1/8"") focal length eyepiece Like RKE"
"699","Explore Scientific 100 degree 9mm"
"700","Tele Vue 5mm Nagler Type 6"
"701","Tele Vue 9 mm Nagler Type 6"
"702","Meade QX Wide Angle 15mm Eyepiece"
"703","Antares W-Series 70 31mm Eyepiece"
"704","TeleVue 12mm Nagler Type 4 Eyepiece"
"705","Vernonscope 2"" 32mm WF eyepiece - 1 available"
"706","Explore Scientific 2"" 100* 14 or 20mm"
"707","Tele Vue 10mm Ethos (Brand New)"
"708","11mm Nagler T1 Smoothie Eyepiece (REDUCED)"
"709","Pair of TeleVue 25mm Plossl Eyepieces"
"710","Tele Vue Nagler 13mm Smoothie"
"711","(6) or (5) RKE Eyepiece Set with Extras Updated"
"712","Meade 40mm Super Plossl"
"713","Tele Vue 3.5 mm Nagler Type 6"
"714","Pentax 1.25"" 70503 XL-10.5 SMC 10.5mm Eyepiece"
"715","ES Explore Scientific 4.7mm 82° eyepiece"
"716","Vintage Parks 12.5mm Plossl - NS - JAPAN"
"717","26mm Agena SWA 70 Degrees"
"718","Tele Vue Plossls"
"719","Denkmeier 14mm eyepiece w/vault"
"720","Clave, Meade Research Grade"
"721","11t1 Nagler Televue"
"722","Explore Scientific 30 mm 82 Degree Eyepiece W/ Box and Caps"
"723","Tele Vue 22 mm Nagler T4 Excellent Condition"
"724","16.8mm eyepieces"
"725","Excellent Televue 32mm Plossl Eyepiece"
"726","New in Box Celestron X-Cel LX 9mm Eyepiece"
"727","32mm, 26mm Agena SWA 70 Degrees"
"728","Celestron X-Cel LX 5mm Eyepiece"
"729","Celestron eyepiece kit - 1.25"""
"730","Televue 8mm Plossl Eyepiece-LNIB, Japan"
"731","Edmund 15mm RKE"
"732","Zeiss Jena ortho 16mm"
"733","Meade Series 2 Orthoscopic Eyepieces"
"734","Meade, Celestron, Astro-tech, Stellarvue, eyepieces and unkown brand diagonal"
"735","11mm Televue Delite *Like New*"
"736","GSO Superview 20mm Eyepiece"
"737","Moonfish 30mm 80* Eyepiece"
"738","Meade 8-24mm Zoom Eyepiece"
"739","13mm Ethos"
"740","Tele Vue Nagler 5mm Type 6"
"741","War Surplus Eyepiece 2"" Barrel"
"742","1’st edition 56mm Meade 4000 Super Plossl Japan"
"743","Orion 28mm Deep View 2"" wide field EP"
"744","Antares 40mm Erfle"
"745","Criterion & UO Orthos, TV 32mm Plossl"
"746","Celestron 26mm Plossl"
"747","Brandon 48mm 2"" Eyepiece"
"748","WANTED 28MM EDMUND SCI RKE WITH CAPS IN EXC COND"
"749","Televue 3-6 Zoom...FOUND!!"
"750","Televue Paracorr II"
"751","Orion Expanse 20mm 1.25"". Like new."
"752","Denkmeier 32mm Neutral Plossls- Matched Pair"
"753","Celestron 26mm Plossl Eyepiece ""Halloween"""
"754","TMB 3.2 Optical Planetary Eyepiece"
"755","Vixen LVW 5mm"
"756","Vixen LVW 17mm"
"757","Antares W-Series 70 Eyepieces."
"758","Celestron ""Halloween"" 26mm Plossl"
"759","Meade Research Grade 1.25"" 15.5mm Wide Angle"
"760","Televue Nagler 17mm"
"761","Televue Nagler 12mm"
"762","Tele Vue DeLite Eyepieces + 2.5x PowerMate + Everbrite Diagonal"
"763","Sky-Watcher Super Plössl eyepiece set (10mm, 25mm)"
"764","Orion Expanse 6mm eyepiece"
"765","Focusing Illuminated Reticle 35mm FL"
"766","eyepieces, filters garage sale"
"767","Celestron X-Cel LX 9mm FREE shipping"
"768","ASTRO-TECH 15mm 1.25"" Paradigm Dual ED"
"769","10mm Delos - like new condition"
"770","Explore Scientific 82' 14mm and 8.8mm"
"771","TeleVue 25mm Plossl Eyepiece"
"772","Parks Plossl 35mm 1.25"" Eyepiece - Made in Japan"
"773","Vintage Edmund Scientific Company 1/4"" focal length Ramsdens (REDUCED+)"
"774","Nikon #7901 20x Spotting Scope Eyepiece"
"775","Nikon #7675 15-45x (60mm) 20-60x (80mm) Zoom Eyepiece"
"776","Takahashi 1.25"" MC 25mm Ortho with Box and Papers"
"777","Explore Scientific 18mm 82 deg. 2"" Argon As New"
"778","Orion 10mm Ultrascopic 1.25"" EP"
"779","1.25"" Celestron 20mm Erfle - JAPAN circle T"
"780","Silvertop plossl"
"781","WTB- 25mm, 20mm, and 15mm eyepieces"
"782","WIlliam Optics 40mm SWAN"
"783","Explore Scientific 28mm 68 degree 2"" Argon"
"784","Orion Expanse 9mm 66* AFOV 1.25"" Eyepiece"
"785","7mm 82 deg Celestron Luminos  $70   Free Shipping"
"786","Unused Televue 0.8X Focal Reducer/Flattener (TRF-2008)"
"787","Vintage Edscorp 6mm Ortho - LNIB"
"788","Takahashi TOE-4mm"
"789","Takahashi 7mm Orthoscopic, 0.965"""
"790","Cheap Celestron/Zhumell/Meade 8-24 Zoom for Outreach"
"791","Explore Scientific 6.7mm 82 degree Ar. NEW"
"792","Televue 26mm smooth side plossl"
"793","11mm TeleVue Plossl (Updated)"
"794","23mm Axiom LX - 2"" by Celestron 80 degree FOV!"
"795","55mm Televue Plossl - 2"""
"796","14mm Televue Radian - 1.25"""
"797","Televue 10mm Radian - 1.25"""
"798","TeleVue 32mm Plossl 1/14"""
"799","TeleVue Plossl 40mm 1 1/4"""
"800","TeleVue 7mm Nagler T6"
"801","Televue 24mm 1.25” Widefield eyepiece"
"802","Nikon NAV-5 SW NAV-10 SW"
"803","UO 9mm Volcano Top Ortho"
"804","Price Reduced Meade Ser. 4000 6.7mm UWA -JAPAN"
"805","Televue 7mm 1.25” Nagler ""Smoothie"" eyepiece Circle NJ"
"806","WANTED - 13mm VIXEN LVW"
"807","Meade 7mm Research Grade Ortho with original box Japan MOP"
"808","Televue Delos 6mm"
"809","Celestron Classic 26mm Silver Top Plossl Eyepiece Japan"
"810","Near Give-Away 1.25"" Eyepieces"
"811","Orion 40mm Optiluxe 2"" eyepiece"
"812","Celestron Luminos 23mm"
"813","Baader 8-24mm Zoom"
"814","Meade 24.5mm Super Wide Angle JAPAN Smoothie"
"815","17.5 mm K(ellner?), 1.25"" barrel"
"816","Baader Hyperion 8mm"
"817","Celestron 12.5 mm 1.25"" microguide eyepiece"
"818","For Sale - LNIB - Explore Scientific 30mm 82 Degree Eyepiece"
"819","PENTAX SMC 6mm (lower price)"
"820","Takahashi MC HI OR 4mm (lower price)"
"821","Explore Scientific 40mm 68 degree eyepiece"
"822","Celestron Collimation Eyepiece Chesire 1.25"" P/N 94182"
"823","Agena SWA 32mm 70° 2”"
"824","Stellarvue 23 deg 1.25"" eyepiece w/ Illuminated reticle"
"825","TELEVUE 35mm Panoptic"
"826","Zeiss ZAO-II 16mm"
"827","University Optics boxes for VT ""abbe"" orthos"
"828","Parks Gold Series 25mm ep"
"829","Explore Scientific 82 degree eyepieces 6.7mm 8.8mm and 1.25 in 2x focal extender"
"830","Explore Scientifc 11mm 82 degree eyepiece"
"831","Takahashi LE Set"
"832","Original TeleVue 13mm Nagler Smoothie model made in Japan"
"833","Meade Research Grade 7mm Ortho - JAPAN MOP"
"834","GSO 2"" comma corrector"
"835","Vixen 2.4mm HR High Resolution Eyepiece"
"836","Set of 5 Celestron Kellner eyepieces"
"837","WTB Orion Stratus 24mm"
"838","Luminos 23mm 82 (2"")"
"839","Orion Stratus 17mm Eyepiece"
"840","Fujiyama HD Phase II Orthos - FULL SET!! $500"
"841","Televue 19mm Panoptic Excellent"
"842","Explore Scientific 68* 20mm and/or 28mm"
"843","short 1 1/4"" unihex barrels"
"844","REDUCED: Meade 12mm MA Illuminated Reticle Eyepiece - Corded"
"845","Wanted:  TeleVue Delite 18.2mm eyepiece"
"846","1rpd 80 afov 15mm 2"" Eyepiece"
"847","Meade 14mm 4000 UWA Eyepiece"
"848","20mm Tele Vue Plossl"
"849","Nagler 22T4"
"850","Tele Vu 15mm Plossl Eyepiece"
"851","Tele Vue 41mm Panoptic"
"852","Wanted:Tuneable-top paracorr I"
"853","Explore Scientific 92° 12mm"
"854","Orion Stratus Eyepieces"
"855","EXPLORE SCIENTIFIC 82° 30MM"
"856","Stellarvue and NightOwl eyepieces"
"857","Morpheus 12.5mm"
"858","Olivon 9.5mm-19mm 2"" and 1.25"" Zoom Eyepiece"
"859","24mm Explore Scientific 68"
"860","20mm Explore Scientific 68"
"861","Sears classic collection"
"862","TeleVue 41mm Panoptic *like new free shipping*"
"863","Nikon 12.5 HW 102 degrees"
"864","Astro-Tech Titan 38mm"
"865","Meade HD60 - 6.5mm"
"866","WANTED: Baader Planetarium Hyperion 10mm Modular Eyepiece"
"867","Unitron 40mm Monochro Eyepiece and 0.965"" Adapter"
"868","Celestron 1.25"" Eyepiece Set of 7 for $85 USD"
"869","Tele Vue 4mm Radian"
"870","Trade: 26 mm Celestron ""Halloween"" Plossl"
"871","2"" Eyepieces & Big Barlow"
"872","Baader 32mm 1.25 Classic Plossl"
"873","Tele Vue 11mm Type 6"
"874","Explore Scientific 3X Focal Extender"
"875","Meade 26 Super Plossl Smoothie"
"876","Televue Ethos 8mm"
"877","Tele-Vue Plossi 20mm Eyepiece"
"878","Meade 4000 6.4mm Smoothie"
"879","4mm Ortho & 4mm Plossl - Excellent"
"880","Celestron Luminos 31mm 2"" Premium Eyepiece"
"881","Celestron 10mm Plossl, 1.25"" ""Halloween"""
"882","Tele Vue 15mm Plossl"
"883","24 pan"
"884","es 24mm 68 degree ep"
"885","17.5mm Morpheus eyepieces"
"886","Meade 4.7mm UWA Series 4000 Japan"
"887","Meade 32mm Super Plossl - Japan - Smoothie"
"888","25mm and a 16mm Clave Paris"
"889","2"" Meade QX Wide Angle 36mm FMC"
"890","Meade 9mm and 25mm MA Circle T Eyepieces 1.25"""
"891","eyepieces and fl reducer for trade"
"892","Orion Expanse 20 mm & 9 mm. Like New."
"893","Meade 7mm Ortho RG"
"894","9mm Orion LHD 80-Degree Lanthanum Ultra-Wide Eyepiece"
"895","11mm Type 6 Nagler"
"896","9mm Type 6 Nagler"
"897","Televue Nagler 13mm type 6"
"898","Baader 3.5nm 2"" Filter/Televue 3mm Radian"
"899","Tele Vue 7mm Nagler Eyepiece Circle NJ Japan"
"900","Coulter Optical 12.5 mm orthoscopic"
"901","Meade 4.7mm Ultrawide Smoothie"
"902","Panoptic 41mm"
"903","8 piece plossl eyepiece lot w/ barlow"
"904","Celestron Silvertop 26mm"
"905","Clavé de Paris"
"906","ES 18mm 82 degree eyepiece - Price Reduced"
"907","Arcturus 1.25"" 30mm Plossl Pair"
"908","Parks Gold 35mm with lens caps"
"909","University Optics 16mm 1 1/4"" eyepiece"
"910","University Optics 11mm 1 1/4"" eyepiece"
"911","Orion DeepView 28mm 2"" EP"
"912","2"" 32 mm Erfle"
"913","Tele Vue Nagler T6 7mm"
"914","Vixen LV 15mm Eyepiece"
"915","Vixen LV 9mm Eyepiece"
"916","2"" 30mm Super Wide Eyepiece"
"917","Pair of 7mm Celestron Circle V orthos"
"918","WANTED nagler 22 & 12 t4"
"919","Celestron 9mm X-Cel LX like new"
"920","""Questar 12mm U.S.A.""  Eyepiece"
"921","*LIKE NEW* Explore Scientific 82° 30mm: $230 SHIPPED!"
"922","ES 30mm 82 degree"
"923","wanted: short FL ortho"
"924","wanted: .965 9mm ortho"
"925","UWA LER 66 deg set of 4 EPs"
"926","Televue Ethos 21mm **REDUCED**Excellent **"
"927","Collection of Eyepiece Bolt Cases"
"928","ES eyepiece"
"929","Baader Hyperion 8-24 Mk IV Zoom - Used Twice"
"930","Tak LE 18mm"
"931","Televue Nagler 31mm"
"932","2x Barlow Wanted"
"933","Classic Celestron Ultima 35mm, 23mmWA, 5mm"
"934","Looking for Televue PAN 24....good,usable. Not collector level."
"935","Tele Vue 11mm Nagler Type 6 for sale or trade"
"936","Vixen LVW 22mm, 17mm, 13mm"
"937","TeleVue Panoptic 35mm Wanted"
"938","Explore Scentific 2"" 24mm 82 degree"
"939","TeleVue Delos 17.3mm *like new*"
"940","Looking for a 35mm Ultima or Equivalent"
"941","Unbranded 12.5mm Illuminated Reticle (bright) EP FREE SHIP"
"942","CHEAP MEADE EYEPIECES"
"943","Nagler 22T4 and Vixen SSW 7"
"944","Celestron Vixen 26mm Silvertop Plossl"
"945","Meade 4000 Eyepiece set with case"
"946","Celestron 8mm 1.25"" X-Cel Series, Model # 93388"
"947","Wanted - Meade 5.5mm UWA"
"948","A few TeleVue"
"949","WANTED: Tak 24 or 30mm LE"
"950","Meade MWA Eyepieces 10mm & 5mm 100 degree AFOV"
"951","William Optics 5mm XWA Hyperwide 110° - reduced!"
"952","Meade Series 5000 - 14mm UWA - 1.25"""
"953","8mm Baader Hyperion Eyepiece"
"954","New TeleVue 15mm DeLite Eyepiece"
"955","A. Jaegers War Surplus Wide Field Erfle"
"956","Brand New Unused 12.5mm Baader Morpheus Eyepiece Free Shipping"
"957","Baader MARK IV Hyperion ZOOM 8-24mm"
"958","TMB/Burgess 9mm"
"959","25mm UO Ortho (Japan)"
"960","Wanted: Neutral 21mm L-O-A eyepiece"
"961","20mm APM 100 HDC XWA Eyepiece Like NEW Free SHIPPING"
"962","Edmund #30,354 Focusing Eyepiece 3/4' F.L."
"963","Pair of Meade 4.7mm UWA Series 4000 Japan"
"964","pair of Zeiss O16 eyepieces with 1.25 adapter"
"965","Baader Hyperion 13mm"
"966","Baader Hyperion 21mm"
"967","Baader Hyperion 5mm"
"968","Takahashi .965"" 7mm and 12.5mm Orthos"
"969","Looking for a 15mm Tele Vue Panoptic"
"970","12.5mm Fujiyama HD Ortho"
"971","2"" Meade 5000 series deluxe 40mm 60 degree AFOV eyepiece"
"972","TeleVue 7mm Nagler and 25mm Plossl Eyepieces"
"973","Celestron Plossl/Filter Kit"
"974","Meade 4.7mm, 6.7mm UWA & 18mm SWA - JAPAN"
"975","Meade Series 5000 - 8.8mm UWA 1.25"""
"976","Meade Series 5000 - 5.5mm UWA 1.25"""
"977","Nikon Ortho Eyepieces"
"978","New Open Box Baader Morpheus 12.5mm Eyepiece FREE SHIP"
"979","8mm Questar Brandon WANTED"
"980","Televue 11mm Plossl For Sale"
"981","Televue Ethos 21MM 100 Degree Eyepiece (Free Shipping & PayPal)"
"982","Starguider"
"983","Baader Morpheus 12.5mm Shipping & PP Fee Incld Like New"
"984","Baader Morpheus 17.5mm Like New Free Ship & PP Fee incld"
"985","Questar Eyepieces - 40-80x"
"986","Televue 17mm Ethos Eyepiece"
"987","Carl Zeiss Abbe Ortho (ZAO) II Eyepiece Set"
"988","Explore-Scientific 100 deg Series Argon Purged Waterproof Eyepiece 5.5mm"
"989","Celestron 25mm SMA"
"990","New but no box, Explore Scientific 82° 30mm Eyepiece"
"991","Baader 17.5 Morpheus New in box~!"
"992","Televue Dielectric Diagonal - Satin Finish"
"993","Takahashi LE 7.5mm"
"994","Looking for rough ES 28 mm 68 degree or Meade 28 SWA/ 24UWA, etc."
"995","Televue 18mm Radian"
"996","*LIKE NEW* Explore Scientific 82° 30mm Eyepiece: $250 SHIPPED!"
"997","Final reduction- 13 Ethos @ $390 shipped conus"
"998","Dioptrx 0.50"
"999","Takahashi 5mm EPs."
"1000","Pair of 10mm Svbony plossls"
"1001","20mm GSO Superview eyepieces"
"1002","(Reduced) Orion Stratus 13mm"
"1003","Explorer Scientific ES 82 14mm"
"1004","Vixen circle V Er 32mm Erfle"
"1005","Meade Super Plossl 26MM Japan Smoothie"
"1006","Meade Ultra Wide Angle 8.8MM eyepiece Japan."
"1007","Explore Scientific 2"" 30mm/24mm 82 degree LIKE NEW"
"1008","Delos 3.5mm Eyepiece (Televue)"
"1009","Meade WA 18mm Eyepiece 07139"
"1010","Meade 9mm Illuminated Retical, Wired."
"1011","Orion DeepView 28mm and Shorty Barlow"
"1012","Televue 3.5mm Nagler Type 6"
"1013","Cheap 1.25"" Eyepieces"
"1014","Meade 28mm Research Grade Eyepiece"
"1015","Swarovski SW 30x eyepiece"
"1016","Vernonscope Brandon EFL 8mm 1.25 eyepiece"
"1017","Pentax XP 24mm .965 eyepiece"
"1018","1.25"" wireless Illuminated Reticle w/focable crosshairs 12.5mm"
"1019","24mm Explore Scientific 68 degree, Argon purged"
"1020","12mm Agena Starguider"
"1021","Explore Scientific 8.8mm 1.25"" 82 deg."
"1022","Ethos 21mm pristine"
"1023","25mm Circle T Ortho"
"1024","Orion Stratus 8mm"
"1025","Orion Stratus 5mm"
"1026","Orion Stratus 3.5mm"
"1027","Really nice university or 12.5mm illuminated reticle ep"
"1028","Celestron E-lux 32mm 2"" Eyepiece - last one!"
"1029","Meade series 5000 82 degree UWA 4.7mm"
"1030","Wanted: Your broken Televue DIOPTRX corrector for parts project"
"1031","Televue Eyepiece Sale ****"
"1032","Meade 6.7mm Series 4000 Ultra Wide Smoothie"
"1033","TeleVue DeLite 9 mm"
"1034","University Optics eyepieces"
"1035","Televue Delos 10mm *Like New*"
